Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Bokolmanyo,Ethiopia,41.53275,4.546786,8/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=220.xls&name=Dollo%20Ado%20Population%20Statistics_17%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,,,11.68,16.36,6.66,1.04,11.7,15.69,5.7,19.52,1
Kobe,Ethiopia,41.7469,4.481,8/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=220.xls&name=Dollo%20Ado%20Population%20Statistics_17%20Aug%202011.xls,25284,5661,3301,4998,2481,145,3153,4534,3695,1732,109,,,,,,,13.06,19.77,9.81,0.57,12.47,17.93,14.61,6.85,0.43
Helawein,Ethiopia,41.8622,4.369878,8/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=220.xls&name=Dollo%20Ado%20Population%20Statistics_17%20Aug%202011.xls,9513,2112,1224,1853,835,63,1129,1670,1269,860,48,,,,,,,12.87,19.48,8.78,0.66,11.87,17.55,13.34,9.04,0.5
Melkadida,Ethiopia,41.703053,4.523053,8/16/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=192.xls&name=Dollo%20Ado%20Population%20Statistics_16%20Aug%202011.xls,39627,9812,5485,7668,3417,128,5283,7294,5580,3175,190,,,,,,,13.84,19.35,8.62,0.32,13.33,18.41,14.08,8.01,0.48
Bokolmanyo,Ethiopia,41.53275,4.546786,8/16/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=192.xls&name=Dollo%20Ado%20Population%20Statistics_16%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,,,11.68,16.36,6.66,1.04,11.7,15.69,5.7,19.52,1
Kobe,Ethiopia,41.7469,4.481,8/16/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=192.xls&name=Dollo%20Ado%20Population%20Statistics_16%20Aug%202011.xls,25284,5661,3301,4998,2481,145,3153,4534,3695,1732,109,,,,,,,13.06,19.77,9.81,0.57,12.47,17.93,14.61,6.85,0.43
Helawein,Ethiopia,41.8622,4.369878,8/16/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=192.xls&name=Dollo%20Ado%20Population%20Statistics_16%20Aug%202011.xls,9513,2112,1224,1853,835,63,1129,1670,1269,860,48,,,,,,,12.87,19.48,8.78,0.66,11.87,17.55,13.34,9.04,0.5
Melkadida,Ethiopia,41.703053,4.523053,8/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=193.xls&name=Dollo%20Ado%20Population%20Statistics_15%20Aug%202011.xls,39601,9792,5483,7667,3417,128,5283,7292,5578,3174,189,,,,,,,13.85,19.36,8.63,0.32,13.34,18.41,14.09,8.01,0.48
Bokolmanyo,Ethiopia,41.53275,4.546786,8/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=193.xls&name=Dollo%20Ado%20Population%20Statistics_15%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,,,11.68,16.36,6.66,1.04,11.7,15.69,5.7,19.52,1
Kobe,Ethiopia,41.7469,4.481,8/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=193.xls&name=Dollo%20Ado%20Population%20Statistics_15%20Aug%202011.xls,25284,5661,3301,4998,2481,145,3153,4534,3695,1732,109,,,,,,,13.06,19.77,9.81,0.57,12.47,17.93,14.61,6.85,0.43
Helawein,Ethiopia,41.8622,4.369878,8/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=193.xls&name=Dollo%20Ado%20Population%20Statistics_15%20Aug%202011.xls,8379,1845,1075,1679,777,46,994,1519,1200,641,37,,,,,,,12.83,20.04,9.27,0.55,11.86,18.13,14.32,7.65,0.44
Melkadida,Ethiopia,41.703053,4.523053,8/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=191.xls&name=Dollo%20Ado%20Population%20Statistics_13%20Aug%202011.xls,39601,9792,5483,7667,3417,128,5283,7292,5578,3174,189,,,,,,,13.85,19.36,8.63,0.32,13.34,18.41,14.09,8.01,0.48
Bokolmanyo,Ethiopia,41.53275,4.546786,8/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=191.xls&name=Dollo%20Ado%20Population%20Statistics_13%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,,,11.68,16.36,6.66,1.04,11.7,15.69,5.7,19.52,1
Kobe,Ethiopia,41.7469,4.481,8/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=191.xls&name=Dollo%20Ado%20Population%20Statistics_13%20Aug%202011.xls,25284,5661,3301,4998,2481,145,3153,4534,3695,1732,109,,,,,,,13.06,19.77,9.81,0.57,12.47,17.93,14.61,6.85,0.43
Helawein,Ethiopia,41.8622,4.369878,8/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=191.xls&name=Dollo%20Ado%20Population%20Statistics_13%20Aug%202011.xls,7352,1617,942,1518,730,31,848,1378,1147,443,19,,,,,,,12.81,20.65,9.93,0.42,11.53,18.74,15.6,6.03,0.26
Melkadida,Ethiopia,41.703053,4.523053,10/20/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=522.pdf&name=Dollo_Ado_Population_Statistics_20_Oct_2011.pdf,40103,9905,5675,6275,2155,425,5474,6018,2157,7653,431,,,,,,,14.15,15.65,5.37,1.06,13.65,15.01,5.38,19.08,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/20/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=522.pdf&name=Dollo_Ado_Population_Statistics_20_Oct_2011.pdf,37708,9479,4453,6121,2486,402,4455,5869,2132,7331,381,,,,,,,11.81,16.23,6.59,1.07,11.81,15.56,5.65,19.44,1.01
Kobe,Ethiopia,41.7469,4.481,10/20/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=522.pdf&name=Dollo_Ado_Population_Statistics_20_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/20/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=522.pdf&name=Dollo_Ado_Population_Statistics_20_Oct_2011.pdf,24816,5869,3381,3798,1363,277,3293,3743,1243,4747,262,,,,,,,13.62,15.3,5.49,1.12,13.27,15.08,5.01,19.13,1.06
Melkadida,Ethiopia,41.703053,4.523053,10/22/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=534.pdf&name=Dollo_Ado_Population_Statistics_22_Oct_2011.pdf,40103,9905,5675,6275,2155,425,5474,6018,2157,7653,431,,,,,,,14.15,15.65,5.37,1.06,13.65,15.01,5.38,19.08,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/22/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=534.pdf&name=Dollo_Ado_Population_Statistics_22_Oct_2011.pdf,37697,9476,4451,6119,2486,402,4454,5867,2131,7329,381,,,,,,,11.81,16.23,6.59,1.07,11.82,15.56,5.65,19.44,1.01
Kobe,Ethiopia,41.7469,4.481,10/22/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=534.pdf&name=Dollo_Ado_Population_Statistics_22_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/22/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=534.pdf&name=Dollo_Ado_Population_Statistics_22_Oct_2011.pdf,24816,5869,3381,3798,1363,277,3293,3743,1243,4747,262,,,,,,,13.62,15.3,5.49,1.12,13.27,15.08,5.01,19.13,1.06
Melkadida,Ethiopia,41.703053,4.523053,10/24/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=535.pdf&name=Dollo_Ado_Population_Statistics_24_Oct_2011.pdf,40103,9905,5675,6275,2155,425,5474,6018,2157,7653,431,,,,,,,14.15,15.65,5.37,1.06,13.65,15.01,5.38,19.08,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/24/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=535.pdf&name=Dollo_Ado_Population_Statistics_24_Oct_2011.pdf,37697,9476,4451,6119,2486,402,4454,5867,2131,7329,381,,,,,,,11.81,16.23,6.59,1.07,11.82,15.56,5.65,19.44,1.01
Kobe,Ethiopia,41.7469,4.481,10/24/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=535.pdf&name=Dollo_Ado_Population_Statistics_24_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/24/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=535.pdf&name=Dollo_Ado_Population_Statistics_24_Oct_2011.pdf,24882,5880,3393,3803,1366,277,3297,3756,1252,4755,266,,,,,,,13.64,15.28,5.49,1.11,13.25,15.1,5.03,19.11,1.07
Dagahaley,Kenya,40.2881,0.191389,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",124826,36648,12831,17260,8283,1974,12660,16223,7272,25511,2166,52,5063,119637,71,3,,10.28,13.83,6.64,1.58,10.14,13,5.83,20.44,1.74
Hagadera,Kenya,40.35,0.001111,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",140846,44497,13329,16709,10105,2352,12676,15728,8262,30670,2495,3665,137171,2,4,4,,9.46,11.86,7.17,1.67,9,11.17,5.87,21.78,1.77
Ifo,Kenya,40.3131,0.108611,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",123162,40808,11412,14655,8457,2221,11176,13926,7116,26577,2333,5,8711,113240,929,62,,9.27,11.9,6.87,1.8,9.07,11.31,5.78,21.58,1.89
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",27569,6630,3717,4180,1651,410,3586,3791,1252,4988,428,,136,27433,,,,13.48,15.16,5.99,1.49,13.01,13.75,4.54,18.09,1.55
Kambioos,Kenya,40.393056,-0.044167,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",10188,2188,1353,1685,651,122,1273,1430,472,1787,158,,46,10142,,,,13.28,16.54,6.39,1.2,12.5,14.04,4.63,17.54,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/17/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=512.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2017th%20Oct%202011%20Ext.pdf",37205,9338,5149,5472,2055,541,4785,4935,1600,6980,626,,446,36758,1,,,13.84,14.71,5.52,1.45,12.86,13.26,4.3,18.76,1.68
Dagahaley,Kenya,40.2881,0.191389,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",124833,36650,12833,17258,8283,1975,12662,16223,7272,25512,2166,53,5066,119640,71,3,,10.28,13.82,6.64,1.58,10.14,13,5.83,20.44,1.74
Hagadera,Kenya,40.35,0.001111,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",140800,44470,13329,16703,10100,2351,12666,15730,8260,30656,2494,,3666,137124,2,4,,9.47,11.86,7.17,1.67,9,11.17,5.87,21.77,1.77
Ifo,Kenya,40.3131,0.108611,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",123139,40804,11407,14649,8453,2221,11178,13922,7117,26570,2334,5,8710,113218,929,62,,9.26,11.9,6.86,1.8,9.08,11.31,5.78,21.58,1.9
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",27569,6630,3717,4180,1651,410,3586,3791,1252,4988,428,428,136,27433,,,,13.48,15.16,5.99,1.49,13.01,13.75,4.54,18.09,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",37209,9339,5151,5473,2055,541,4786,4935,1600,6981,626,626,446,36762,1,,,13.84,14.71,5.52,1.45,12.86,13.26,4.3,18.76,1.68
Kambioos,Kenya,40.393056,-0.044167,10/16/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=509.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2016th%20Oct%202011.pdf",10189,2189,1353,1685,651,122,1273,1430,472,1787,158,,46,10143,,,,13.28,16.54,6.39,1.2,12.49,14.03,4.63,17.54,1.55
Dagahaley,Kenya,40.2881,0.191389,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",125685,36862,12957,17380,8325,1991,12783,16331,7312,25674,2184,53,5066,120492,71,3,,10.31,13.83,6.62,1.58,10.17,12.99,5.82,20.43,1.74
Hagadera,Kenya,40.35,0.001111,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",141594,44632,13452,16831,10136,2368,12781,15835,8293,30789,2503,,3672,137912,2,,,9.5,11.89,7.16,1.67,9.03,11.18,5.86,21.74,1.77
Ifo,Kenya,40.3131,0.108611,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",123265,40842,11439,14660,8462,2223,11197,13934,7115,26596,2338,5,8710,113344,929,62,,9.28,11.89,6.86,1.8,9.08,11.3,5.77,21.58,1.9
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",26692,6405,3593,4050,1606,393,3465,3680,1213,4822,407,,136,26556,,,,13.46,15.17,6.02,1.47,12.98,13.79,4.54,18.07,1.52
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",37113,9314,5129,5462,2049,540,4777,4922,1598,6959,625,,446,36666,1,,,13.82,14.72,5.52,1.46,12.87,13.26,4.31,18.75,1.68
Kambioos,Kenya,40.393056,-0.044167,10/13/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=495.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2013th%20Oct%202011%20Ext.pdf",9390,2028,1240,1550,611,105,1163,1322,435,1653,149,,40,9530,,,,13.21,16.51,6.51,1.12,12.39,14.08,4.63,17.6,1.59
Dagahaley,Kenya,40.2881,0.191389,10/11/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=485.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2011th%20Oct%202011%20Ext.pdf",126189,36947,12999,17479,8361,2004,12829,16404,7341,25777,2196,53,5053,121009,71,3,,10.3,13.85,6.63,1.59,10.17,13,5.82,20.43,1.74
Hagadera,Kenya,40.35,0.001111,10/11/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=485.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2011th%20Oct%202011%20Ext.pdf",140887,44362,13363,16755,10111,2353,12696,15743,8260,30659,2487,,3670,137207,2,4,,9.48,11.89,7.18,1.67,9.01,11.17,5.86,21.76,1.77
Ifo,Kenya,40.3131,0.108611,10/11/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=485.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2011th%20Oct%202011%20Ext.pdf",122600,40605,11357,14580,8401,2206,11119,13885,7085,26485,2322,5,8706,112684,929,62,,9.26,11.89,6.85,1.8,9.07,11.33,5.78,21.6,1.89
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,10/11/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=485.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2011th%20Oct%202011%20Ext.pdf",25583,6122,3454,3880,1557,370,3334,3525,1161,4617,383,,136,25447,,,,13.5,15.17,6.09,1.45,13.03,13.78,4.54,18.05,1.5
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,10/11/2011,Dadaab Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=485.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%2011th%20Oct%202011%20Ext.pdf",37026,9290,5112,5452,2047,540,4760,4915,1592,6943,624,,442,36583,1,,,13.81,14.72,5.53,1.46,12.86,13.27,4.3,18.75,1.69
Melkadida,Ethiopia,41.703053,4.523053,12/17/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=672.pdf&name=Dollo%20Ado%20Population%20Statistics%2017%20Dec.pdf,40632,10004,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,12.46,16.78,5.89,1.08,11.99,16.09,5.77,19.12,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,12/17/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=672.pdf&name=Dollo%20Ado%20Population%20Statistics%2017%20Dec.pdf,38328,9586,4617,6170,2523,410,4639,5909,2155,7380,387,,,,,,,12.05,16.1,6.58,1.07,12.1,15.42,5.62,19.25,1.01
Kobe,Ethiopia,41.7469,4.481,12/17/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=672.pdf&name=Dollo%20Ado%20Population%20Statistics%2017%20Dec.pdf,25949,5916,3462,4057,1420,395,3321,3703,1198,4852,382,,,,,,,13.34,15.63,5.47,1.52,12.8,14.27,4.62,18.7,1.47
Helawein,Ethiopia,41.8622,4.369878,12/17/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=672.pdf&name=Dollo%20Ado%20Population%20Statistics%2017%20Dec.pdf,25526,6083,3472,3881,1416,287,3379,3838,1310,4861,283,,,,,,,13.6,15.2,5.55,1.12,13.24,15.04,5.13,19.04,1.11
Buramino,Ethiopia,41.937319,4.311683,12/17/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=672.pdf&name=Dollo%20Ado%20Population%20Statistics%2017%20Dec.pdf,1953,420,282,306,90,15,268,303,122,368,23,,,,,,,14.44,15.67,4.61,0.77,13.72,15.51,6.25,18.84,1.18
Melkadida,Ethiopia,41.703053,4.523053,12/19/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=673.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Dec.pdf,40632,10004,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,12.46,16.78,5.89,1.08,11.99,16.09,5.77,19.12,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,12/19/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=673.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Dec.pdf,38328,9586,4617,6170,2523,410,4639,5909,2155,7380,387,,,,,,,12.05,16.1,6.58,1.07,12.1,15.42,5.62,19.25,1.01
Kobe,Ethiopia,41.7469,4.481,12/19/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=673.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Dec.pdf,25949,5916,3462,4057,1420,395,3321,3703,1198,4852,382,,,,,,,13.34,15.63,5.47,1.52,12.8,14.27,4.62,18.7,1.47
Helawein,Ethiopia,41.8622,4.369878,12/19/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=673.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Dec.pdf,25526,6083,3472,3881,1416,287,3379,3838,1310,4861,283,,,,,,,13.6,15.2,5.55,1.12,13.24,15.04,5.13,19.04,1.11
Buramino,Ethiopia,41.937319,4.311683,12/19/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=673.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Dec.pdf,2251,480,321,357,108,18,313,345,141,426,23,,,,,,,14.26,15.86,4.8,0.8,13.9,15.33,6.26,18.92,1.02
Melkadida,Ethiopia,41.703053,4.523053,12/20/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=675.pdf&name=Dollo%20Ado%20Population%20Statistics%2020%20Dec.pdf,40632,10004,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,12.46,16.78,5.89,1.08,11.99,16.09,5.77,19.12,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,12/20/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=675.pdf&name=Dollo%20Ado%20Population%20Statistics%2020%20Dec.pdf,38328,9586,4617,6170,2523,410,4639,5909,2155,7380,387,,,,,,,12.05,16.1,6.58,1.07,12.1,15.42,5.62,19.25,1.01
Kobe,Ethiopia,41.7469,4.481,12/20/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=675.pdf&name=Dollo%20Ado%20Population%20Statistics%2020%20Dec.pdf,25949,5916,3462,4057,1420,395,3321,3703,1198,4852,382,,,,,,,13.34,15.63,5.47,1.52,12.8,14.27,4.62,18.7,1.47
Helawein,Ethiopia,41.8622,4.369878,12/20/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=675.pdf&name=Dollo%20Ado%20Population%20Statistics%2020%20Dec.pdf,25526,6083,3472,3881,1416,287,3379,3838,1310,4861,283,,,,,,,13.6,15.2,5.55,1.12,13.24,15.04,5.13,19.04,1.11
Buramino,Ethiopia,41.937319,4.311683,12/20/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=675.pdf&name=Dollo%20Ado%20Population%20Statistics%2020%20Dec.pdf,2251,480,321,357,108,18,313,345,141,426,23,,,,,,,14.26,15.86,4.8,0.8,13.9,15.33,6.26,18.92,1.02
Melkadida,Ethiopia,41.703053,4.523053,12/22/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=683.pdf&name=Dollo%20Ado%20Population%20Statistics%2022%20Dec.pdf,,,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kobe,Ethiopia,41.7469,4.481,12/22/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=683.pdf&name=Dollo%20Ado%20Population%20Statistics%2022%20Dec.pdf,,,3462,4057,1420,395,3321,3703,1198,4852,382,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Helawein,Ethiopia,41.8622,4.369878,12/22/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=683.pdf&name=Dollo%20Ado%20Population%20Statistics%2022%20Dec.pdf,,,3472,3881,1416,287,3379,3838,1310,4861,283,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Buramino,Ethiopia,41.937319,4.311683,12/22/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=683.pdf&name=Dollo%20Ado%20Population%20Statistics%2022%20Dec.pdf,,,362,402,115,19,366,385,157,488,27,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
